x,y
http://www.wikidata.org/entity/Q197273,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q210573,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q230192,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q268539,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q282830,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q283141,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q296478,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q327857,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q328824,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q336115,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q343607,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q353264,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q365097,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q423894,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q429596,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q510209,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q534163,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q538825,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q558021,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q570532,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q580661,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q612787,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q667017,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q668731,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q673761,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q681878,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q685423,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q751918,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q761896,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q763391,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q767679,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q773092,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q779125,-0500-01-01T00:00:00Z
